,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Teams,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
15,15,15,J.Jackson o1.5 Blk,kylemurray03,-105,0.95,1.8547619047619048,Memphis Grizzlies,J.Jackson,Utah Jazz,1,0.9047619047619048,Y,0.3125,0.0,0.2,0.0,0.1,0.0
16,16,16,N.Jokic o12.5 Rebs,the_degenerates,-125,1.25,2.25,Denver Nuggets,N.Jokic,Houston Rockets,1,1.0,N,0.6470588235294118,1.0,0.4,0.0,0.7,1.0
17,17,17,N.Jokic o8.5 Ast,kylemurray03,-125,0.8,1.4400000000000002,Denver Nuggets,N.Jokic,Houston Rockets,1,0.6400000000000001,Y,0.5882352941176471,1.0,0.4,0.0,0.6,1.0
18,18,18,N.Jokic o12.5 Rebs,SBK5065,-120,0.8,1.4666666666666668,Denver Nuggets,N.Jokic,Houston Rockets,1,0.6666666666666667,N,0.6470588235294118,1.0,0.4,0.0,0.7,1.0
19,19,19,N.Jokic o14.5 Rebs,JoeDellera,185,0.25,0.7125,Denver Nuggets,N.Jokic,Houston Rockets,1,0.4625,N,0.2941176470588235,0.0,0.2,0.0,0.4,0.0
20,20,20,N.Jokic o19.5 Rebs,JoeDellera,1225,0.15,1.9875,Denver Nuggets,N.Jokic,Houston Rockets,1,1.8375,N,0.0588235294117647,0.0,0.0,0.0,0.1,0.0
21,21,21,N.Jokic o12.5 Rebs,JoeDellera,-115,1.15,2.1499999999999995,Denver Nuggets,N.Jokic,Houston Rockets,1,0.9999999999999996,N,0.6470588235294118,1.0,0.4,0.0,0.7,1.0
22,22,22,C.Anthony o20.5 Pts+Ast,kylemurray03,-115,0.87,1.6265217391304347,Orlando Magic,C.Anthony,Washington Wizards,1,0.7565217391304347,Y,0.3529411764705882,0.0,0.6,1.0,0.3,0.0
23,23,23,G.Bitadze o7.5 Rebs,JoeMetz,-110,1.1,2.1,Orlando Magic,G.Bitadze,Washington Wizards,1,1.0,N,0.3333333333333333,0.0,0.4,0.0,0.4,0.0
24,24,24,J.Poole u17.5 Pts,JoeMetz,-110,1.1,2.1,Washington Wizards,J.Poole,Orlando Magic,0,1.0,N,0.5625,1.0,0.4,0.0,0.7,1.0
25,25,25,T.Mann o3.5 Rebs,Noto,-105,1.05,2.05,Los Angeles Clippers,T.Mann,Sacramento Kings,0,0.9999999999999998,N,0.5,0.0,0.2,0.0,0.5,0.0
26,26,26,R.Westbrook o10.5 Pts,daletanhardt,-106,1.0,1.9433962264150944,Los Angeles Clippers,R.Westbrook,Sacramento Kings,0,0.9433962264150944,N,0.625,1.0,0.4,0.0,0.5,0.0
27,27,27,P.George o30.5 Pts+Rebs,cowhitchurch,-120,0.6,1.1,Los Angeles Clippers,P.George,Sacramento Kings,0,0.5000000000000001,N,0.6875,1.0,0.8,1.0,0.8,1.0
28,28,28,P.George o30.5 Pts+Rebs,PropBetGuy,-120,1.2,2.2,Los Angeles Clippers,P.George,Sacramento Kings,0,1.0000000000000002,N,0.6875,1.0,0.8,1.0,0.8,1.0
29,29,29,K.Durant o4.5 Ast,cowhitchurch,-105,1.0,1.9523809523809523,Phoenix Suns,K.Durant,Toronto Raptors,0,0.9523809523809524,Y,0.6,1.0,0.8,1.0,0.7,1.0
30,30,30,K.Durant o4.5 Ast,JoeDellera,100,1.0,2.0,Phoenix Suns,K.Durant,Toronto Raptors,0,1.0,Y,0.6,1.0,0.8,1.0,0.7,1.0
31,31,31,D.Schroder o7.5 Rebs+Ast,kylemurray03,-125,0.8,1.4400000000000002,Toronto Raptors,D.Schroder,Phoenix Suns,1,0.6400000000000001,Y,0.7222222222222222,1.0,0.4,0.0,0.6,1.0
32,32,32,K.Durant o32.5 Pts+Ast,kylemurray03,-115,0.87,1.6265217391304347,Phoenix Suns,K.Durant,Toronto Raptors,0,0.7565217391304347,Y,0.8,1.0,1.0,1.0,0.9,1.0
33,33,33,J.Ivey u16.5 Pts,SBK5065,-122,0.82,1.4921311475409835,Detroit Pistons,J.Ivey,Los Angeles Lakers,1,0.6721311475409836,Y,0.6923076923076923,1.0,0.6,1.0,0.7,1.0
34,34,34,J.Duren o2.5 Ast,SBK5065,130,0.5,1.15,Detroit Pistons,J.Duren,Los Angeles Lakers,1,0.6499999999999999,N,0.8,1.0,1.0,1.0,0.8,1.0
35,35,35,I.Stewart o6.5 Rebs,kylemurray03,-115,1.0,1.869565217391304,Detroit Pistons,I.Stewart,Los Angeles Lakers,1,0.8695652173913042,N,0.5882352941176471,1.0,0.6,1.0,0.5,0.0
36,36,36,J.Duren o13.5 Rebs+Ast,kylemurray03,-105,1.0,1.9523809523809523,Detroit Pistons,J.Duren,Los Angeles Lakers,1,0.9523809523809524,N,0.7,1.0,0.8,1.0,0.7,1.0
37,37,37,D.Russell o13.5 Pts,kylemurray03,-115,0.87,1.6265217391304347,Los Angeles Lakers,D.Russell,Detroit Pistons,0,0.7565217391304347,Y,0.6111111111111112,1.0,0.4,0.0,0.6,1.0
