,Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name,Correct,Actual Value
78,D.Lillard o40.5 Pts+Rebs+Ast,goodelleaks,Milwaukee Bucks,Atlanta Hawks,0.0,0.2926829268292683,0,0.4,0,0.4,0,-110,1.0,1.9090909090909087,0.9090909090909092,D.Lillard,Y,42.0
79,B.Lopez o20.5 Pts+Rebs+Ast,goodelleaks,Milwaukee Bucks,Atlanta Hawks,0.0,0.3333333333333333,0,0.0,0,0.2,0,-110,1.0,1.9090909090909087,0.9090909090909092,B.Lopez,N,20.0
80,A.Green o7.5 Pts,RoyalsProps,Milwaukee Bucks,Atlanta Hawks,0.0,0.5,0,0.4,0,0.4,0,-115,1.15,2.1499999999999995,0.9999999999999996,A.Green,N,2.0
81,I.Quickley o20.5 Pts+Rebs+Ast,rsura_,Toronto Raptors,Oklahoma City Thunder,0.0,0.4166666666666667,0,0.2,0,0.4,0,-120,1.2,2.2,1.0000000000000002,I.Quickley,N,20.0
82,G.Dick o3.5 Rebs,TopShelfAction,Toronto Raptors,Oklahoma City Thunder,0.0,0.4318181818181818,0,0.4,0,0.2,0,125,0.8,1.8,1.0,G.Dick,Y,7.0
83,T.Hardaway o13.5 Pts+Rebs,Rotowire Sleeper,Detroit Pistons,Philadelphia 76ers,1.0,0.4680851063829787,0,0.4,0,0.4,0,100,1.5,3.0,1.5,T.Hardaway,N,11.0
84,K.Oubre u13.5 Pts,TopShelfAction,Philadelphia 76ers,Detroit Pistons,0.0,0.4680851063829787,0,0.2,0,0.2,0,100,0.8,1.6,0.8,K.Oubre,N,14.0
85,T.Maxey u3.5 Rebs,TopShelfAction,Philadelphia 76ers,Detroit Pistons,0.0,0.5813953488372093,1,0.6,1,0.6,1,-110,1.2,2.290909090909091,1.090909090909091,T.Maxey,Y,3.0
86,J.Duren o10.5 Rebs,TopShelfAction,Detroit Pistons,Philadelphia 76ers,1.0,0.4166666666666667,0,0.4,0,0.5,0,120,1.0,2.2,1.2000000000000002,J.Duren,Y,13.0
87,J.Embiid o9.5 Rebs,KyleJustBets,Philadelphia 76ers,Detroit Pistons,0.0,0.3571428571428571,0,0.6,1,0.4,0,-122,1.0,1.819672131147541,0.819672131147541,J.Embiid,N,7.0
