,name,team,opp,hmcrt_adv,mp,pts,ast,trb,stl,blk,fg3,ts_pct,efg_pct,fg3a_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,usg_pct,off_rtg,def_rtg,date
16,A.Drummond,Chicago Bulls,Atlanta Hawks,1,11.15,4,0,4,1,3,0,.500,.500,.000,11.9,28.4,21.1,0.0,4.3,23.7,19.6,93,92,4000000017
17,T.Craig,Chicago Bulls,Atlanta Hawks,1,6.40,0,0,2,0,0,0,,,,20.0,16.0,17.8,0.0,0.0,0.0,6.6,65,122,4000000017
18,J.Carter,Chicago Bulls,Atlanta Hawks,1,1.49,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,125,4000000017
19,T.Herro,Miami Heat,Philadelphia 76ers,0,40.47,25,9,2,0,0,4,.441,.407,.519,0.0,5.3,2.5,38.6,0.0,0.0,35.2,96,126,4000000017
20,J.Butler,Miami Heat,Philadelphia 76ers,0,39.39,19,5,4,5,0,2,.441,.333,.333,4.7,5.5,5.0,18.9,6.6,0.0,24.5,113,110,4000000017
21,B.Adebayo,Miami Heat,Philadelphia 76ers,0,30.47,10,1,12,0,2,0,.556,.556,.222,12.0,28.4,19.5,5.2,0.0,6.1,14.0,120,112,4000000017
22,C.Martin,Miami Heat,Philadelphia 76ers,0,24.06,5,1,5,0,0,1,.644,.833,.333,7.7,13.6,10.4,5.9,0.0,0.0,8.7,111,122,4000000017
23,N.Jovic,Miami Heat,Philadelphia 76ers,0,14.10,5,0,5,0,0,1,1.250,1.250,.500,0.0,38.5,17.6,0.0,0.0,0.0,9.1,125,110,4000000017
24,H.Highsmith,Miami Heat,Philadelphia 76ers,0,28.12,9,3,6,3,1,0,.507,.500,.500,9.8,11.6,10.6,16.4,5.6,3.3,13.6,134,108,4000000017
25,D.Wright,Miami Heat,Philadelphia 76ers,0,22.41,6,2,6,2,1,2,.429,.429,.429,16.3,9.6,13.2,12.5,4.6,4.1,13.3,130,111,4000000017
26,J.Jaquez,Miami Heat,Philadelphia 76ers,0,22.17,15,2,5,1,0,2,.631,.636,.364,8.3,14.7,11.2,17.2,2.4,0.0,28.8,107,116,4000000017
27,K.Love,Miami Heat,Philadelphia 76ers,0,17.21,10,0,2,1,0,2,.850,.800,.800,5.3,6.3,5.8,0.0,3.0,0.0,17.1,145,118,4000000017
28,T.Maxey,Philadelphia 76ers,Miami Heat,1,43.58,19,6,3,0,0,1,.510,.406,.375,0.0,6.3,3.4,22.2,0.0,0.0,21.3,109,120,4000000017
29,J.Embiid,Philadelphia 76ers,Miami Heat,1,38.14,23,5,15,1,0,2,.537,.412,.235,8.6,29.0,19.6,22.1,1.4,0.0,27.6,118,104,4000000017
30,K.Oubre,Philadelphia 76ers,Miami Heat,1,37.17,11,1,8,1,1,0,.491,.333,.111,8.8,12.4,10.7,4.0,1.4,2.5,14.1,116,112,4000000017
31,T.Harris,Philadelphia 76ers,Miami Heat,1,32.44,9,4,10,0,0,0,.414,.400,.300,16.7,14.1,15.3,19.5,0.0,0.0,17.0,104,115,4000000017
32,K.Lowry,Philadelphia 76ers,Miami Heat,1,28.59,7,1,5,2,0,1,.350,.350,.500,3.8,12.7,8.6,5.3,3.6,0.0,17.9,72,108,4000000017
33,N.Batum,Philadelphia 76ers,Miami Heat,1,27.36,20,0,5,0,1,6,.833,.833,.833,7.9,10.0,9.1,0.0,0.0,3.4,21.9,133,116,4000000017
34,B.Hield,Philadelphia 76ers,Miami Heat,1,17.57,7,6,1,0,0,1,.438,.438,.625,6.1,0.0,2.8,57.3,0.0,0.0,24.1,104,123,4000000017
35,P.Reed,Philadelphia 76ers,Miami Heat,1,9.46,6,0,2,0,1,0,1.000,1.000,.000,0.0,18.9,10.2,0.0,0.0,9.6,13.3,200,108,4000000017
36,C.Payne,Philadelphia 76ers,Miami Heat,1,3.29,3,0,0,0,0,1,1.500,1.500,1.000,0.0,0.0,0.0,0.0,0.0,0.0,12.4,300,123,4000000017
