,name,team,opp,hmcrt_adv,mp,pts,ast,trb,stl,blk,fg3,ts_pct,efg_pct,fg3a_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,usg_pct,off_rtg,def_rtg,date
20,K.Thompson,Golden State Warriors,Sacramento Kings,0,31.36,0,1,4,0,0,0,.000,.000,.600,0.0,12.4,6.7,4.6,0.0,0.0,15.7,6,129,4000000016
21,A.Wiggins,Golden State Warriors,Sacramento Kings,0,25.29,12,2,3,0,1,1,.455,.409,.364,4.5,7.7,6.2,14.8,0.0,3.2,28.8,83,129,4000000016
22,T.Jackson-Davis,Golden State Warriors,Sacramento Kings,0,10.35,2,0,1,0,0,0,1.000,1.000,.000,0.0,9.3,5.0,0.0,0.0,0.0,8.5,77,131,4000000016
23,J.Kuminga,Golden State Warriors,Sacramento Kings,0,27.51,16,2,7,0,1,0,.454,.400,.133,8.2,17.6,13.3,15.2,0.0,2.9,28.6,104,125,4000000016
24,B.Podziemski,Golden State Warriors,Sacramento Kings,0,24.06,5,1,8,1,0,1,.833,.833,.667,9.5,24.4,17.5,6.9,2.1,0.0,7.5,133,119,4000000016
25,C.Paul,Golden State Warriors,Sacramento Kings,0,18.17,3,2,1,0,0,1,.500,.500,.667,0.0,5.4,2.9,17.3,0.0,0.0,9.9,90,132,4000000016
26,M.Moody,Golden State Warriors,Sacramento Kings,0,15.24,16,1,3,0,0,2,.784,.750,.500,0.0,19.1,10.3,17.9,0.0,0.0,30.0,156,126,4000000016
27,K.Looney,Golden State Warriors,Sacramento Kings,0,8.32,2,1,5,0,0,0,.500,.500,.000,13.4,45.9,30.9,20.5,0.0,0.0,10.6,132,114,4000000016
28,L.Quinones,Golden State Warriors,Sacramento Kings,0,2.13,4,0,1,0,0,0,.694,.500,.500,51.6,0.0,23.8,0.0,0.0,0.0,58.8,155,135,4000000016
29,U.Garuba,Golden State Warriors,Sacramento Kings,0,2.13,0,1,1,0,0,0,.000,.000,.000,0.0,44.2,23.8,65.6,0.0,0.0,20.4,51,115,4000000016
30,G.Santos,Golden State Warriors,Sacramento Kings,0,2.13,0,0,1,0,0,0,,,,0.0,44.2,23.8,0.0,0.0,0.0,0.0,0,115,4000000016
31,K.Ellis,Sacramento Kings,Golden State Warriors,1,38.48,15,5,4,3,3,3,.845,.813,.500,5.0,5.9,5.4,16.8,3.9,7.7,13.1,137,94,4000000016
32,K.Murray,Sacramento Kings,Golden State Warriors,1,38.34,32,0,9,2,0,8,.735,.700,.650,7.6,17.8,12.3,0.0,2.6,0.0,27.4,130,99,4000000016
33,D.Fox,Sacramento Kings,Golden State Warriors,1,38.34,24,6,4,2,0,2,.472,.480,.320,2.5,8.9,5.5,25.5,2.6,0.0,29.2,109,101,4000000016
34,D.Sabonis,Sacramento Kings,Golden State Warriors,1,36.48,16,7,12,2,1,0,.538,.500,.071,2.7,34.2,17.2,27.0,2.8,2.7,18.4,128,93,4000000016
35,H.Barnes,Sacramento Kings,Golden State Warriors,1,34.00,17,3,4,0,0,3,.666,.591,.364,5.8,6.7,6.2,11.8,0.0,0.0,16.0,156,108,4000000016
36,T.Lyles,Sacramento Kings,Golden State Warriors,1,19.00,7,2,5,1,0,1,.509,.417,.500,10.3,18.0,13.9,13.3,2.7,0.0,15.4,137,99,4000000016
37,D.Mitchell,Sacramento Kings,Golden State Warriors,1,16.30,5,3,5,0,0,1,.278,.278,.556,11.9,20.8,16.0,23.5,0.0,0.0,23.3,96,104,4000000016
38,A.Len,Sacramento Kings,Golden State Warriors,1,8.54,0,1,4,0,0,0,.000,.000,.000,22.0,25.7,23.7,12.5,0.0,0.0,9.6,90,103,4000000016
39,J.McGee,Sacramento Kings,Golden State Warriors,1,2.13,2,0,0,0,1,0,1.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,45.1,19.2,200,79,4000000016
40,K.Edwards,Sacramento Kings,Golden State Warriors,1,2.13,0,0,1,0,0,0,,,,0.0,51.6,23.8,0.0,0.0,0.0,0.0,0,96,4000000016
41,C.Jones,Sacramento Kings,Golden State Warriors,1,2.13,0,1,0,0,0,0,.000,.000,.000,0.0,0.0,0.0,50.4,0.0,0.0,19.2,65,110,4000000016
42,S.Vezenkov,Sacramento Kings,Golden State Warriors,1,2.13,0,0,1,0,0,0,.000,.000,1.000,0.0,51.6,23.8,0.0,0.0,0.0,19.2,0,97,4000000016
