,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
15,15,R.O'Neale o1.5 3pt M,JoeDellera,145,0.15,0.3675,-7.5137,Brooklyn Nets,R.O'Neale,Indiana Pacers,0.0,0.2175,Y,0.75,1,0.8,1,0.7,1
16,16,S.Curry o35.5 Pts+Ast,PropBetGuy,-120,1.2,2.2,-15.8957,Golden State Warriors,S.Curry,Utah Jazz,1.0,1.0000000000000002,Y,0.6111111111111112,1,0.6,1,0.6,1
0,0,J.Giddey o5.5 Ast,JoeMetz,-135,1.35,2.35,0.0,Oklahoma City Thunder,J.Giddey,Boston Celtics,1.0,1.0,N,0.46875,0,0.4,0,0.6,1
1,1,J.Tatum u44.5 Pts+Rebs+Ast,SBK5065,-115,0.5,0.934782608695652,0.0,Boston Celtics,J.Tatum,Oklahoma City Thunder,0.0,0.434782608695652,Y,0.6388888888888888,1,0.6,1,0.6,1
2,2,J.Tatum u44.5 Pts+Rebs+Ast,PropBetGuy,-115,1.0,1.869565217391304,0.0,Boston Celtics,J.Tatum,Oklahoma City Thunder,0.0,0.869565217391304,Y,0.6388888888888888,1,0.6,1,0.6,1
3,3,K.Olynyk o20.5 Pts+Rebs+Ast,SBK5065,-110,0.55,1.05,0.0,Utah Jazz,K.Olynyk,Sacramento Kings,1.0,0.5,N,0.4722222222222222,0,0.2,0,0.4,0
4,4,H.Barnes u14.5 Pts,PropBetGuy,-120,1.2,2.2,0.0,Sacramento Kings,H.Barnes,Utah Jazz,0.0,1.0000000000000002,N,0.5555555555555556,1,0.6,1,0.6,1
5,5,D.Sabonis o41.5 Pts+Rebs+Ast,JoeMetz,-120,1.0,1.8333333333333333,0.0,Sacramento Kings,D.Sabonis,Utah Jazz,0.0,0.8333333333333333,Y,0.3714285714285714,0,0.8,1,0.8,1
6,6,D.Sabonis o41.5 Pts+Rebs+Ast,JoeDellera,-109,0.92,1.7640366972477066,0.0,Sacramento Kings,D.Sabonis,Utah Jazz,0.0,0.8440366972477066,Y,0.3714285714285714,0,0.8,1,0.8,1
7,7,B.Beal u30.5 Pts+Rebs+Ast,PropBetGuy,-122,1.0,1.819672131147541,0.0,Washington Wizards,B.Beal,Milwaukee Bucks,0.0,0.819672131147541,Y,0.375,0,0.6,1,0.5,0
8,8,B.Beal o21.5 Pts,JoeDellera,-115,0.25,0.467391304347826,0.0,Washington Wizards,B.Beal,Milwaukee Bucks,0.0,0.217391304347826,N,0.6666666666666666,1,0.6,1,0.7,1
0,0,K.Anderson o10.5 Rebs+Ast,JoeDellera,-120,0.42,0.77,0.0,Minnesota Timberwolves,K.Anderson,Toronto Raptors,1.0,0.35,Y,0.3783783783783784,0,0.8,1,0.7,1
1,1,K.Anderson Yes1000 Double-Double,JoeDellera,1225,1.23,16.2975,0.0,Minnesota Timberwolves,K.Anderson,Toronto Raptors,1.0,15.0675,Y,0.1351351351351351,0,0.8,1,0.4,0
2,2,N.Reid o14.5 Pts,SBK5065,-125,1.25,2.25,0.0,Minnesota Timberwolves,N.Reid,Toronto Raptors,1.0,1.0,N,0.175,0,0.4,0,0.2,0
3,3,O.Anunoby o14.5 Pts,SBK5065,-114,0.5,0.9385964912280702,0.0,Toronto Raptors,O.Anunoby,Minnesota Timberwolves,0.0,0.4385964912280702,Y,0.6046511627906976,1,0.2,0,0.3,0
4,4,P.Siakam o5.5 Ast,SBK5065,-128,0.5,0.890625,0.0,Toronto Raptors,P.Siakam,Minnesota Timberwolves,0.0,0.390625,Y,0.6756756756756757,1,0.8,1,0.6,1
5,5,G.Trent o18.5 Pts,JoeDellera,-120,0.83,1.5216666666666667,0.0,Toronto Raptors,G.Trent,Minnesota Timberwolves,0.0,0.6916666666666668,N,0.525,1,0.2,0,0.6,1
6,6,G.Trent o24.5 Pts,JoeDellera,300,0.15,0.6,0.0,Toronto Raptors,G.Trent,Minnesota Timberwolves,0.0,0.4499999999999999,N,0.15,0,0.2,0,0.2,0
7,7,J.Tatum o39.5 Pts+Rebs,PropBetGuy,-115,1.0,1.869565217391304,0.0,Boston Celtics,J.Tatum,Golden State Warriors,1.0,0.869565217391304,Y,0.4888888888888889,0,0.8,1,0.7,1
8,8,J.Tatum u32.5 Pts,SBK5065,-115,0.58,1.0843478260869563,0.0,Boston Celtics,J.Tatum,Golden State Warriors,1.0,0.5043478260869564,N,0.6,1,0.2,0,0.5,0
9,9,K.Hayes o24.5 Pts+Rebs+Ast,charliedisturco,-110,0.55,1.05,0.0,Detroit Pistons,K.Hayes,Chicago Bulls,1.0,0.5,N,0.2888888888888888,0,0.4,0,0.5,0
10,10,N.Vucevic o11.5 Rebs,SBK5065,-112,0.45,0.8517857142857143,0.0,Chicago Bulls,N.Vucevic,Detroit Pistons,0.0,0.4017857142857142,Y,0.4888888888888889,0,0.6,1,0.8,1
11,11,Z.LaVine o25.5 Pts,SBK5065,-116,0.34,0.6331034482758621,0.0,Chicago Bulls,Z.LaVine,Detroit Pistons,0.0,0.293103448275862,Y,0.3414634146341463,0,0.8,1,0.7,1
12,12,T.Craig u17.5 Pts+Rebs+Ast,PropBetGuy,-125,1.0,1.8,0.0,Phoenix Suns,T.Craig,Brooklyn Nets,1.0,0.8,Y,0.5681818181818182,1,0.6,1,0.6,1
13,13,N.Claxton o2.5 Blk,JoeDellera,-145,0.69,1.1658620689655173,0.0,Brooklyn Nets,N.Claxton,Phoenix Suns,0.0,0.4758620689655173,Y,0.5609756097560976,1,1.0,1,1.0,1
14,14,J.Nurkic u17.5 Pts+Ast,PropBetGuy,-120,1.0,1.8333333333333333,0.0,Portland Trail Blazers,J.Nurkic,Philadelphia 76ers,1.0,0.8333333333333333,Y,0.475,0,0.6,1,0.5,0
0,0,M.Fultz u5.5 Ast,SBK5065,-130,1.0,1.7692307692307692,0.0,Orlando Magic,M.Fultz,Atlanta Hawks,1.0,0.7692307692307692,N,0.75,1,0.8,1,0.75,1
1,1,P.Banchero o31.5 Pts+Rebs+Ast,SBK5065,-115,0.5,0.934782608695652,0.0,Orlando Magic,P.Banchero,Atlanta Hawks,1.0,0.434782608695652,Y,0.5454545454545454,1,0.8,1,0.5,0
